iter	Passed	Remaining
766	17934	28831
767	17953	28801
768	17980	28782
769	18007	28765
770	18025	28733
771	18041	28698
772	18060	28667
773	18080	28638
774	18108	28623
775	18125	28590
776	18144	28559
777	18160	28524
778	18175	28487
779	18194	28457
780	18214	28429
781	18241	28411
782	18262	28384
783	18285	28361
784	18304	28331
785	18327	28307
786	18346	28277
787	18365	28247
788	18386	28220
789	18398	28179
790	18418	28152
791	18445	28133
792	18464	28104
793	18484	28076
794	18509	28055
795	18526	28022
796	18549	27998
797	18571	27973
798	18588	27941
799	18604	27907
800	18626	27881
801	18641	27846
802	18662	27819
803	18682	27791
804	18701	27762
805	18719	27731
806	18734	27695
807	18754	27667
808	18774	27639
809	18791	27607
810	18816	27587
811	18839	27563
812	18861	27537
813	18885	27516
814	18912	27498
815	18939	27481
816	18959	27453
817	18983	27431
818	19009	27412
819	19029	27384
820	19054	27363
821	19074	27335
822	19093	27306
823	19108	27270
824	19126	27240
825	19148	27216
826	19171	27192
827	19191	27164
828	19208	27132
829	19229	27106
830	19252	27083
831	19278	27064
832	19306	27047
833	19328	27023
834	19352	27000
835	19376	26978
836	19397	26952
837	19415	26921
838	19437	26896
839	19455	26866
840	19475	26840
841	19497	26814
842	19518	26788
843	19536	26757
844	19556	26731
845	19583	26713
846	19607	26691
847	19630	26668
848	19658	26651
849	19674	26618
850	19694	26590
851	19718	26569
852	19743	26547
853	19766	26525
854	19789	26501
855	19804	26468
856	19829	26446
857	19849	26419
858	19867	26389
859	19886	26360
860	19907	26335
861	19926	26306
862	19940	26270
863	19958	26241
864	19979	26216
865	20003	26193
866	20022	26165
867	20046	26142
868	20069	26120
869	20084	26087
870	20107	26063
871	20128	26038
872	20143	26004
873	20166	25981
874	20189	25957
875	20208	25929
876	20230	25904
877	20253	25882
878	20272	25853
879	20285	25817
880	20304	25789
881	20320	25757
882	20345	25736
883	20369	25715
884	20390	25689
885	20409	25661
886	20429	25634
887	20453	25613
888	20476	25589
889	20489	25554
890	20512	25531
891	20531	25503
892	20557	25483
893	20575	25454
894	20593	25425
895	20618	25404
896	20642	25383
897	20663	25357
898	20682	25330
899	20704	25305
900	20724	25278
901	20744	25251
902	20768	25230
903	20790	25206
904	20810	25179
905	20830	25152
906	20849	25125
907	20870	25099
908	20889	25071
909	20912	25049
910	20932	25022
911	20951	24995
912	20971	24967
913	20986	24935
914	21006	24909
915	21025	24881
916	21044	24854
917	21066	24830
918	21089	24807
919	21109	24780
920	21135	24761
921	21154	24734
922	21171	24703
923	21195	24682
924	21216	24657
925	21241	24635
926	21266	24615
927	21290	24594
928	21312	24570
929	21334	24546
930	21350	24514
931	21369	24487
932	21390	24462
933	21409	24434
934	21428	24408
935	21450	24384
936	21468	24355
937	21484	24324
938	21508	24302
939	21531	24280
940	21557	24260
941	21584	24242
942	21604	24216
943	21621	24186
944	21637	24156
945	21656	24128
946	21676	24102
947	21698	24078
948	21720	24054
949	21739	24027
950	21762	24005
951	21782	23978
952	21802	23953
953	21819	23923
954	21844	23902
955	21870	23883
956	21892	23859
957	21910	23831
958	21932	23807
959	21951	23780
960	21972	23755
961	21990	23727
962	22011	23703
963	22029	23674
964	22050	23650
965	22073	23626
966	22086	23593
967	22112	23574
968	22132	23548
969	22154	23524
970	22174	23499
971	22192	23471
972	22213	23446
973	22236	23423
974	22262	23403
975	22280	23376
976	22302	23352
977	22324	23328
978	22342	23300
979	22357	23270
980	22382	23249
981	22394	23215
982	22413	23188
983	22437	23167
984	22464	23148
985	22488	23127
986	22503	23096
987	22524	23071
988	22544	23046
989	22567	23023
990	22588	22999
991	22607	22972
992	22629	22948
993	22655	22929
994	22675	22903
995	22690	22873
996	22715	22852
997	22731	22822
998	22745	22791
999	22772	22772
1000	22800	22755
1001	22818	22727
1002	22836	22699
1003	22856	22674
1004	22876	22649
1005	22894	22621
1006	22920	22601
1007	22937	22573
1008	22955	22545
1009	22980	22525
1010	22999	22499
1011	23023	22477
1012	23040	22448
1013	23064	22427
1014	23084	22402
1015	23102	22374
1016	23127	22354
1017	23150	22331
1018	23171	22307
1019	23193	22284
1020	23211	22256
1021	23235	22235
1022	23253	22207
1023	23277	22186
1024	23316	22179
1025	23340	22157
1026	23364	22135
1027	23381	22107
1028	23405	22086
1029	23430	22065
1030	23452	22042
1031	23470	22015
1032	23495	21994
1033	23517	21970
1034	23538	21946
1035	23563	21926
1036	23585	21902
1037	23602	21874
1038	23622	21849
1039	23642	21823
1040	23663	21799
1041	23684	21774
1042	23709	21754
1043	23729	21729
1044	23745	21700
1045	23770	21679
1046	23784	21649
1047	23808	21627
1048	23828	21602
1049	23848	21577
1050	23875	21558
1051	23896	21534
1052	23912	21505
1053	23934	21482
1054	23957	21459
1055	23980	21436
1056	24000	21411
1057	24019	21385
1058	24040	21361
1059	24055	21332
1060	24076	21308
1061	24098	21285
1062	24122	21263
1063	24147	21242
1064	24167	21217
1065	24190	21194
1066	24214	21173
1067	24235	21149
1068	24255	21124
1069	24271	21096
1070	24291	21071
1071	24314	21048
1072	24335	21024
1073	24354	20998
1074	24372	20971
1075	24398	20952
1076	24414	20923
1077	24438	20901
1078	24461	20879
1079	24475	20849
1080	24492	20822
1081	24510	20795
1082	24537	20776
1083	24559	20752
1084	24584	20732
1085	24608	20710
1086	24622	20680
1087	24639	20653
1088	24659	20628
1089	24682	20606
1090	24697	20577
1091	24720	20555
1092	24740	20530
1093	24761	20506
1094	24790	20489
1095	24815	20468
1096	24839	20446
1097	24863	20425
1098	24884	20401
1099	24904	20376
1100	24922	20350
1101	24946	20328
1102	24974	20310
1103	24997	20287
1104	25022	20267
1105	25041	20241
1106	25068	20222
1107	25088	20197
1108	25108	20173
1109	25131	20150
1110	25158	20131
1111	25177	20106
1112	25198	20081
1113	25224	20061
1114	25248	20040
1115	25274	20020
1116	25301	20000
1117	25330	19983
1118	25353	19961
1119	25381	19942
1120	25405	19921
1121	25425	19896
1122	25447	19873
1123	25466	19847
1124	25487	19823
1125	25514	19804
1126	25544	19786
1127	25560	19759
1128	25583	19736
1129	25606	19714
1130	25624	19688
1131	25649	19667
1132	25668	19642
1133	25690	19619
1134	25711	19594
1135	25729	19569
1136	25753	19547
1137	25775	19524
1138	25803	19505
1139	25824	19481
1140	25842	19455
1141	25863	19431
1142	25884	19407
1143	25910	19387
1144	25928	19361
1145	25948	19336
1146	25972	19315
1147	25996	19293
1148	26018	19270
1149	26036	19244
1150	26056	19219
1151	26071	19191
1152	26096	19170
1153	26118	19147
1154	26139	19123
1155	26153	19094
1156	26180	19075
1157	26200	19050
1158	26219	19025
1159	26243	19003
1160	26269	18983
1161	26296	18964
1162	26316	18939
1163	26339	18917
1164	26367	18898
1165	26387	18874
1166	26408	18850
1167	26433	18829
1168	26452	18804
1169	26471	18778
1170	26490	18753
1171	26508	18727
1172	26538	18710
1173	26555	18684
1174	26571	18656
1175	26587	18629
1176	26612	18608
1177	26634	18585
1178	26657	18563
1179	26682	18541
1180	26701	18517
1181	26720	18491
1182	26743	18469
1183	26764	18445
1184	26781	18419
1185	26805	18397
1186	26818	18368
1187	26837	18343
1188	26853	18316
1189	26878	18295
1190	26898	18271
1191	26922	18249
1192	26943	18225
1193	26962	18201
1194	26985	18178
1195	27009	18156
1196	27030	18133
1197	27051	18109
1198	27070	18084
1199	27091	18060
1200	27113	18037
1201	27139	18017
1202	27162	17995
1203	27188	17975
1204	27211	17952
1205	27234	17930
1206	27254	17906
1207	27274	17881
1208	27302	17863
1209	27316	17834
1210	27335	17809
1211	27357	17787
1212	27376	17762
1213	27402	17741
1214	27425	17719
1215	27447	17696
1216	27471	17674
1217	27500	17656
1218	27524	17634
1219	27547	17612
1220	27568	17588
1221	27588	17564
1222	27608	17540
1223	27624	17513
1224	27645	17490
1225	27664	17465
1226	27689	17444
1227	27708	17419
1228	27736	17400
1229	27761	17378
1230	27781	17354
1231	27796	17327
1232	27817	17303
1233	27836	17279
1234	27855	17254
1235	27878	17232
1236	27897	17207
1237	27922	17186
1238	27941	17161
1239	27962	17138
1240	27982	17114
1241	28000	17088
1242	28025	17068
1243	28049	17046
1244	28077	17026
1245	28093	17000
1246	28113	16976
